step,ant_id,x,y,state,direction,vx,vy,mode,deliveries
0,0,22.877398991861757,20.961965174553107,0,4.857637593460487,-0.19172311573342576,-1.2744566732582638,0,0
0,1,13.599637787077512,17.11315574546315,0,6.0089671895330286,-0.2885897537895562,-0.19565322644820754,0,0
0,2,30.673710818194635,15.252169469170827,0,4.9930847914735885,3.666611382658499,-2.7591832463209625,0,0
0,3,26.616966208522843,32.485599584148254,0,0.7582325275937487,2.900106655235617,0.7649080940599158,0,0
0,4,36.711422804225045,29.375403961468095,0,4.8641134960057935,1.560536663565085,2.561576412861794,0,0
0,5,32.325555070192166,34.865625917222566,0,6.216313035907148,2.9932946483666534,-0.20046732416918253,0,0
0,6,17.290382670733575,25.83851944346977,0,1.650890660489832,0.6825539112798866,-2.538536402351545,0,0
0,7,33.06273261322177,28.469587672096747,0,5.307388005541362,2.59401575492412,1.569183477090736,0,0
0,8,16.357551987488968,32.90239384534492,0,5.389077896485629,0.956064832117462,3.189967574901164,0,0
0,9,30.35405206692292,17.358948860725146,0,3.1726797833454046,1.7962904611472743,-0.22986655005541912,0,0
0,10,26.604390053074443,21.12576592024383,0,0.9331979242425643,-2.3910230939942716,1.0177748601010037,0,0
0,11,25.335438906037535,15.030166184439336,0,6.251301364534457,3.026944512837445,-2.1498884609640316,0,0
0,12,19.01673951606599,16.612129187468202,0,1.4611235918036434,1.2667910837596268,2.6021402455236697,0,0
0,13,38.93292690365668,21.796701839559898,0,1.3867152219961474,1.8739432384110297,-4.119913438149397,0,0
0,14,28.428136238041976,31.545964840980865,0,3.5416623251671346,0.3509575502478621,3.8092864641950994,0,0
0,15,31.363768278992776,23.14537955762138,0,0.500250992121849,2.095420193339552,2.032544925289072,0,0
0,16,33.597310267658365,18.809274219930607,0,1.5673849404440368,-3.316981945292385,1.786358921471134,0,0
0,17,22.011713513208278,22.793798026438033,0,3.0316007571714696,-1.8046592724482813,-2.9318207533125475,0,0
0,18,20.9516675592796,29.720363686491726,0,0.25749998335635227,0.3425767955025387,0.7581977553587331,0,0
0,19,27.422226889351332,26.777004714506326,0,0.4867113644355432,0.09867365078023693,0.6282953678567915,0,0
0,0,21.88947145961521,18.78367014092104,0,4.807193133745742,2.173102345174149,-0.49628673930880113,0,0
0,1,14.174877060162903,16.94256917301329,0,5.99489766103586,2.8761963654269547,-0.8529328622492954,0,0
0,2,31.071267560303937,13.382413266876496,0,5.051708944684001,0.536755049766027,0.21453382638332805,0,0
0,3,24.760126363085163,34.10434627752641,0,0.8451788581704146,-0.4973374112847464,3.535110857711413,0,0
0,4,38.16435234470152,29.11793773959168,0,4.943573520157161,1.8282879260633729,-2.636950557044433,0,0
0,5,32.90555943651127,34.78881829858925,0,6.216640982274652,1.4803730613304167,-3.191024505812573,0,0
0,6,17.188923841340866,26.429878983798886,0,1.7407107943645788,-0.5072941469635468,2.9567977016455704,0,0
0,7,33.67937717368017,28.32180942370808,0,5.345187595638073,0.8912260323004099,2.2662312076470355,0,0
0,8,16.685965384975503,32.40025378485248,0,5.291590260228534,1.642066987432679,-2.5107003024621966,0,0
0,9,30.190821233852613,16.688959411335446,0,3.2482964629372417,1.5419009397510735,0.9061403681193337,0,0
0,10,26.346675039161724,21.779960827883187,0,1.0129629077693,-0.43210972561806504,1.4221840914279484,0,0
0,11,25.935034728353067,15.008146877870724,0,6.246478220203121,2.9979791115776533,-0.11009653284306659,0,0
0,12,19.062133588128575,17.210409538325205,0,1.495067177542552,0.22697036031292586,2.9914017542850075,0,0
0,13,38.549449530338066,22.129185989371436,0,1.4068444006378704,-5.246492430138289,-0.13190278257494015,0,0
0,14,29.53810015343099,32.088910430741,0,3.4725879491328926,3.1078047628612593,1.2479413200004026,0,0
0,15,32.115669966083075,23.21587865473642,0,0.5203948461552318,2.23303471026707,-1.6816848438545116,0,0
0,16,34.43800491943591,19.858109192104298,0,1.486971947164139,0.6046926794082899,2.7463346339703034,0,0
0,17,21.24883951453257,24.426198524112323,0,3.061859590471835,-3.207709193617269,-0.5563599765508855,0,0
0,18,21.483945290034864,30.148063851471694,0,0.187248446934339,3.3143658336320776,-1.4667630856159186,0,0
0,19,27.644595213220068,26.000873550927018,0,0.4775596157575426,2.1334900280171376,-0.4195931408058511,0,0
1,0,23.666572093046057,19.16312058867205,0,4.741330237357013,2.8464460963647045,-1.4631563852433436,0,0
1,1,12.52389029798413,17.06542631367668,0,6.076643372736275,-2.543262232227283,-0.013225731829414056,0,0
1,2,31.442920626431786,12.277318005974536,0,5.097598372249977,0.19975931158369645,0.7030994963266218,0,0
1,3,25.20047962747677,34.51188646271022,0,0.7467179341170349,2.201766321958042,2.0377009259190504,0,0
1,4,39.21377586505751,28.70076714106252,0,5.027640466635403,1.6904370787978973,-2.7171996482958294,0,0
1,5,33.37577975994949,34.61884155246896,0,6.167716393253327,-0.9332048901173398,-3.4831226903302497,0,0
